<<<<<<< HEAD
PARK_ID,Park Name,Address,City,State,Zip Code,Park District,Park Phone #,Longitude,Latitude,parkurl,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuserm,playswings,parking,picture,PARK_TYPE,SUM_ACRES,ShapeSTArea,ShapeSTLength
WCPK,West Charlotte Park,"2401 KENDALL DR, CHARLOTTE, NC 28216",CHARLOTTE,NC,28216,Central,9803141002,1445799.331,557465.429,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/191/attachments/2051?token=,NEIGHBORHOOD PARK,3.21570916,140075.7264,1506.802033
WEPK,Romare Bearden Park,"300 S CHURCH ST, CHARLOTTE, NC 28202",CHARLOTTE,NC,28202,Central,9803141002,1448476.753,542416.8192,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/201/attachments/1295?token=,NEIGHBORHOOD PARK,5.09255342,221830.7443,1934.082215
COOK,Cook Park,"15010 ERVIN COOK RD, HUNTERSVILLE, NC 28078",HUNTERSVILLE,NC,28078,North,7047662220,1435257.208,613461.8705,https://www.huntersville.org/162/Parks-Recreation,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,REGIONAL PARK,147.1507965,6409864.348,11569.32991
UNCC,Kirk Farm Fields Park,"201 E MALLARD CREEK CHURCH RD, CHARLOTTE, NC 28262",CHARLOTTE,NC,28262,North,9803141001,1483260.637,576128.4647,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/183/attachments/1277?token=,COMMUNITY PARK,35.51703805,1547115.917,5050.700082
TOMH,Tom Hunter Park,"919 TOM HUNTER RD, CHARLOTTE, NC 28213",CHARLOTTE,NC,28213,North,9803141001,1468324.171,560956.3476,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/178/attachments/3202?token=,NEIGHBORHOOD PARK,8.38585803,365286.4719,2581.689162
RMBL,Ramblewood Soccer Complex,"10200 NATIONS FORD RD, CHARLOTTE, NC 28273",CHARLOTTE,NC,28273,South,9803141003,1431192.579,504991.6223,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/152/attachments/2404?token=,COMMUNITY PARK,101.9338665,4440221.955,14290.39814
REVG,Charles L. Sifford Golf Course,"2661 BARRINGER DR, CHARLOTTE, NC 28208",CHARLOTTE,NC,28208,Central,9803141002,1438529.898,537556.8295,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/148/attachments/3235?token=,GOLF COURSE,114.7570653,4998797.978,13468.39098
UNTY,Unity Park,"6401 KELSEY DR, CHARLOTTE, NC 28215",CHARLOTTE,NC,28215,North,9803141001,1476805.596,552276.8959,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/185/attachments/2803?token=,NEIGHBORHOOD PARK,5.32990644,232170.0309,2213.524244
WBNP,West Branch Nature Preserve,"17439 SUMMERS WALK BV, DAVIDSON, NC 28036",DAVIDSON,NC,28036,North,9803141001,1472027.475,624495.3751,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/199/attachments/1263?token=,NATURE PRESERVE,90.59347073,3946235.728,8414.414554
REVP,Revolution Park,"2433 BARRINGER DR, CHARLOTTE, NC 28208",CHARLOTTE,NC,28208,Central,9803141002,1439591.377,538625.5314,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/149/attachments/3233?token=,COMMUNITY PARK,30.45727067,1326713.57,6396.780555
SWCG,Smallwood Community Garden,"2625 ROSLYN AV, CHARLOTTE, NC 28208",CHARLOTTE,NC,28208,Central,9803141000,1442650.311,550766.8097,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,
EAST,Eastover Park,"2730 RANDOLPH RD, CHARLOTTE, NC 28207",CHARLOTTE,NC,28207,Central,9803141002,1458408.111,532565.717,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,NEIGHBORHOOD PARK,19.38726445,844505.9168,4362.617252
RGLF,Harry L. Jones Sr. Golf Course,"1525 W TYVOLA RD, CHARLOTTE, NC 28217",CHARLOTTE,NC,28217,South,9803141003,1429241.28,524383.1284,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/150/attachments/2046?token=,GOLF COURSE,342.3314693,14911898.38,19069.49395
SPRG,Springfield Park,"6700 DEANWOOD PL, CHARLOTTE, NC 28217",CHARLOTTE,NC,28217,South,9803141003,1431135.076,518528.0594,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/165/attachments/2049?token=,NEIGHBORHOOD PARK,11.52057966,501834.3927,3411.950346
YORK,Yorkmont Park,"6417 VICKERS RD, CHARLOTTE, NC 28217",CHARLOTTE,NC,28217,South,9803141003,1431594.515,520191.6372,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/196/attachments/2048?token=,NEIGHBORHOOD PARK,2.62214987,114220.4514,1367.427352
KING,Wilmore Centennial Park at Southend,"1711 S TRYON ST, CHARLOTTE, NC 28203",CHARLOTTE,NC,28203,Central,9803141002,1444332.626,538160.8159,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,NEIGHBORHOOD PARK,1.25826495,54809.7954,961.0417076
GRNP,Greenville Park,"1232 SPRING ST, CHARLOTTE, NC 28206",CHARLOTTE,NC,28206,Central,9803141002,1449720.394,549291.0382,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,
STHW,Southwest Park,"1729 VILMA ST, CHARLOTTE, NC 28203",CHARLOTTE,NC,28203,Central,9803141002,1427454.676,537079.5333,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/167/attachments/3232?token=,COMMUNITY PARK,89.83005156,3912981.318,19018.97329
CADI,The Effortless Golf Center,"10401 CADILLAC ST, PINEVILLE, NC 28134",PINEVILLE,NC,28134,South,9803141003,1437564.629,495633.6694,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/214/attachments/2022?token=,GOLF COURSE,26.928207,1172988.191,4491.286953
FRND,Friendship Sportsplex,"2310 CINDY LN, CHARLOTTE, NC 28216",CHARLOTTE,NC,28216,North,9803141001,1447108.335,563216.1885,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/225/attachments/1287?token=,REGIONAL PARK,4.03956726,175962.777,1849.599193
PROG,Progress Park,"1301 PARKWOOD AV, CHARLOTTE, NC 28205",CHARLOTTE,NC,28205,Central,9803141002,1458838.967,544717.0293,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,NEIGHBORHOOD PARK,0.71778248,31266.49178,712.9791385
STPH,Buckeye Cove Nature Preserve,"4918 CASHION RD, HUNTERSVILLE, NC 28078",HUNTERSVILLE,NC,28078,North,9803141001,1420020.678,610417.1214,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/223/attachments/1265?token=,NATURE PRESERVE,394.3626994,17178368.89,51400.38171
MDNC,McDowell Nature Center,"15222 YORK RD, CHARLOTTE, NC 28278",CHARLOTTE,NC,28278,South,9803141128,1395753.308,497445.4699,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/224/attachments/2019?token=,,,,
CLAR,Clarks Creek Greenway Park,"9715 MALLARD CREEK RD, CHARLOTTE, NC 28269",CHARLOTTE,NC,28269,North,9803141001,1469677.975,579434.7592,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/219/attachments/1276?token=,,,,
ELZA,Elizabeth Park,"1100 E TRADE ST, CHARLOTTE, NC 28204",CHARLOTTE,NC,28204,Central,9803141002,1452640.746,539523.4959,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/205/attachments/3250?token=,,,,
BERE,Berewick Recreation Center,"5910 DIXIE RIVER RD, CHARLOTTE, NC 28208",CHARLOTTE,NC,28208,South,9803141003,1408860.138,524108.9122,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/209/attachments/2014?token=,,,,
HAYP,Haymarket Nature Preserve,"11634 BROOKSHIRE BV, CHARLOTTE, NC 28214",CHARLOTTE,NC,28214,North,9803141001,1415200.687,584912.5716,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,NATURE PRESERVE,99.59992835,4338555.64,20470.14744
TNGP,Town Green Park,"232 MATTHEWS STATION ST, MATTHEWS, NC 28105",MATTHEWS,NC,28105,South,7043217275,1486048.942,501683.885,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,Daylight,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/694/attachments/1317?token=,,,,
